"id","product_id","color","price","season","image_url","name","brand","gender","category"
"17072","VE121X005-802","Black","18","ALL","https://secure-i5.ztat.net/detail/VE/12/1X/00/58/02/VE121X005-802@1.jpg","GLORY NEW - Cardigan - black","Vero Moda","FEMALE","womens-clothing-cardigans"
"17073","ES421I02U-802","Black","55","ALL","https://secure-i6.ztat.net/detail/ES/42/1I/02/U8/02/ES421I02U-802@6.jpg","Cardigan - black","ESPRIT Collection","FEMALE","womens-clothing-cardigans"
"17074","ES121I03J-603","Petrol","29","ALL","https://secure-i4.ztat.net/detail/ES/12/1I/03/J6/03/ES121I03J-603@1.1.jpg","Cardigan - deep emerald","Esprit","FEMALE","womens-clothing-cardigans"
"17075","VE121I08P-802","Black","18","ALL","https://secure-i3.ztat.net/detail/VE/12/1I/08/P8/02/VE121I08P-802@1.1.jpg","GLORY NEW LS O-NECK CARDIGAN - Cardigan - black","Vero Moda","FEMALE","womens-clothing-cardigans"
"17076","VE121X007-111","Grey","25","ALL","https://secure-i6.ztat.net/detail/VE/12/1X/00/71/11/VE121X007-111@1.jpg","GLORY NEW - Cardigan - grey","Vero Moda","FEMALE","womens-clothing-cardigans"
"17077","VE121I08P-503","Blue","18","ALL","https://secure-i5.ztat.net/detail/VE/12/1I/08/P5/03/VE121I08P-503@1.1.jpg","GLORY NEW LS O-NECK CARDIGAN - Cardigan - blue","Vero Moda","FEMALE","womens-clothing-cardigans"
"17078","MM421I00B-Q11","Black","32","ALL","https://secure-i3.ztat.net/detail/MM/42/1I/00/BQ/11/MM421I00B-Q11@5.jpg","Cardigan - black","Mexx Metropolitan","FEMALE","womens-clothing-cardigans"
"17079","ON321I08U-Q11","Black","18","ALL","https://secure-i2.ztat.net/detail/ON/32/1I/08/UQ/11/ON321I08U-Q11@21.jpg","RICCO - Cardigan - black","ONLY","FEMALE","womens-clothing-cardigans"
"17080","ON321I08U-C11","Grey","18","ALL","https://secure-i2.ztat.net/detail/ON/32/1I/08/UC/11/ON321I08U-C11@9.jpg","RICCO - Cardigan - light grey melange","ONLY","FEMALE","womens-clothing-cardigans"
"17081","CO121G00I-Q11","Black","30","SUMMER","https://secure-i6.ztat.net/detail/CO/12/1G/00/IQ/11/CO121G00I-Q11@3.jpg","Cardigan - black","comma,","FEMALE","womens-clothing-cardigans"
"17082","VE121I0BR-C11","Grey","14","ALL","https://secure-i2.ztat.net/detail/VE/12/1I/0B/RC/11/VE121I0BR-C11@3.1.jpg","LULULOVE - Cardigan - grey","Vero Moda","FEMALE","womens-clothing-cardigans"
"17083","AN621I02W-A11","White","21","ALL","https://secure-i1.ztat.net/detail/AN/62/1I/02/WA/11/AN621I02W-A11@6.1.jpg","Cardigan - offwhite","Anna Field","FEMALE","womens-clothing-cardigans"
"17084","ES421I02T-K11","Blue","39","ALL","https://secure-i4.ztat.net/detail/ES/42/1I/02/TK/11/ES421I02T-K11@4.jpg","Cardigan - blue","ESPRIT Collection","FEMALE","womens-clothing-cardigans"
"17085","ES421I02W-802","Black","39","ALL","https://secure-i3.ztat.net/detail/ES/42/1I/02/W8/02/ES421I02W-802@1.1.jpg","Cardigan - black","ESPRIT Collection","FEMALE","womens-clothing-cardigans"
"17086","RM021D009-802","Black","65","ALL","https://secure-i3.ztat.net/detail/RM/02/1D/00/98/02/RM021D009-802@1.1.jpg","Cardigan - schwarz","Rosemunde","FEMALE","womens-clothing-cardigans"
"17087","V1021A010-802","Black","25","ALL","https://secure-i1.ztat.net/detail/V1/02/1A/01/08/02/V1021A010-802@1.jpg","ROB - Cardigan - black","Vila","FEMALE","womens-clothing-cardigans"
"17088","VE121X007-113","Grey","25","ALL","https://secure-i2.ztat.net/detail/VE/12/1X/00/71/13/VE121X007-113@1.jpg","GLORY NEW - Cardigan - grey","Vero Moda","FEMALE","womens-clothing-cardigans"
"17089","V1021A006-801","Black","28","ALL","https://secure-i5.ztat.net/detail/V1/02/1A/00/68/01/V1021A006-801@1.jpg","ROB LONG - Cardigan - black","Vila","FEMALE","womens-clothing-cardigans"
"17090","VE121I0BR-Q11","Black","14","ALL","https://secure-i2.ztat.net/detail/VE/12/1I/0B/RQ/11/VE121I0BR-Q11@1.1.jpg","LULULOVE - Cardigan - black","Vero Moda","FEMALE","womens-clothing-cardigans"
"17091","ES421I02W-714","Brown","39","ALL","https://secure-i1.ztat.net/detail/ES/42/1I/02/W7/14/ES421I02W-714@1.1.jpg","Cardigan - brown","ESPRIT Collection","FEMALE","womens-clothing-cardigans"
"17092","VE121I08P-103","Grey","18","ALL","https://secure-i3.ztat.net/detail/VE/12/1I/08/P1/03/VE121I08P-103@1.1.jpg","GLORY NEW LS O-NECK CARDIGAN - Cardigan - grey","Vero Moda","FEMALE","womens-clothing-cardigans"
"17093","ES421I03F-K11","Blue","29","ALL","https://secure-i4.ztat.net/detail/ES/42/1I/03/FK/11/ES421I03F-K11@5.jpg","Cardigan - dark navy","ESPRIT Collection","FEMALE","womens-clothing-cardigans"
"17094","VE121I0AX-C00","Grey","22","ALL","https://secure-i6.ztat.net/detail/VE/12/1I/0A/XC/00/VE121I0AX-C00@1.1.jpg","DANIA - Cardigan - medium grey melange","Vero Moda","FEMALE","womens-clothing-cardigans"
"17095","VE121X005-503","Blue","18","ALL","https://secure-i3.ztat.net/detail/VE/12/1X/00/55/03/VE121X005-503@1.jpg","GLORY NEW - Cardigan - blue","Vero Moda","FEMALE","womens-clothing-cardigans"
"17096","VE121X005-113","Grey","18","ALL","https://secure-i6.ztat.net/detail/VE/12/1X/00/51/13/VE121X005-113@1.jpg","GLORY NEW - Cardigan - grey","Vero Moda","FEMALE","womens-clothing-cardigans"
"17097","VE121I08P-101","Grey","18","ALL","https://secure-i5.ztat.net/detail/VE/12/1I/08/P1/01/VE121I08P-101@1.1.jpg","GLORY NEW LS O-NECK CARDIGAN - Cardigan - grey","Vero Moda","FEMALE","womens-clothing-cardigans"
"17098","VE121X007-503","Blue","18","ALL","https://secure-i5.ztat.net/detail/VE/12/1X/00/75/03/VE121X007-503@1.jpg","GLORY NEW - Cardigan - blue","Vero Moda","FEMALE","womens-clothing-cardigans"
